2026-02-18T01:40:01.568156+01:00, outdoor_avg_60m=-6.75, flow_avg_10m=49.5, flowNow=50, powerNow=3000, freqNow=78, opState=heating, status=set_flow_target
2026-02-18T01:40:01.576097+01:00, outdoor_avg_60m=-6.75, flow_avg_10m=49.5, flowNow=50, powerNow=3000, freqNow=78, opState=heating, status=set_flow_target
2026-02-18T01:45:01.593091+01:00, outdoor_avg_60m=-6.83, flow_avg_10m=50.0, flowNow=50.5, powerNow=3000, freqNow=78, opState=heating, status=set_flow_target
2026-02-18T01:45:01.605022+01:00, outdoor_avg_60m=-6.83, flow_avg_10m=50.0, flowNow=50.5, powerNow=3000, freqNow=78, opState=heating, status=set_flow_target
2026-02-18T01:50:00.611313+01:00, outdoor_avg_60m=-6.92, flow_avg_10m=50.25, flowNow=50, powerNow=3000, freqNow=70, opState=heating, status=no_change
2026-02-18T01:50:00.618977+01:00, outdoor_avg_60m=-6.92, flow_avg_10m=50.25, flowNow=50, powerNow=3000, freqNow=70, opState=heating, status=no_change
2026-02-18T01:55:00.640319+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.25, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=no_change
2026-02-18T01:55:00.652791+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.25, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=no_change
2026-02-18T02:00:00.667552+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=no_change
2026-02-18T02:00:00.679344+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=no_change
2026-02-18T02:05:00.701780+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=no_change
2026-02-18T02:05:00.713444+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=no_change
2026-02-18T02:10:01.761839+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:10:01.769219+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:15:01.789093+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:15:01.800717+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:20:01.632059+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:20:01.646760+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:25:01.653518+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:25:01.660876+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:30:01.682971+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:30:01.693963+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-02-18T02:35:01.718300+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T02:35:01.733264+01:00, outdoor_avg_60m=-7.0, flow_avg_10m=50.5, flowNow=50, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T02:40:01.540539+01:00, outdoor_avg_60m=-7.08, flow_avg_10m=50.25, flowNow=50, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T02:40:01.552494+01:00, outdoor_avg_60m=-7.08, flow_avg_10m=50.25, flowNow=50, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T02:45:01.787672+01:00, outdoor_avg_60m=-7.18, flow_avg_10m=50.0, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T02:45:01.794865+01:00, outdoor_avg_60m=-7.18, flow_avg_10m=50.0, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T02:50:02.056034+01:00, outdoor_avg_60m=-7.27, flow_avg_10m=49.5, flowNow=50, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T02:50:02.062996+01:00, outdoor_avg_60m=-7.27, flow_avg_10m=49.5, flowNow=50, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T02:55:01.638401+01:00, outdoor_avg_60m=-7.36, flow_avg_10m=49.75, flowNow=50, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T02:55:01.649398+01:00, outdoor_avg_60m=-7.36, flow_avg_10m=49.75, flowNow=50, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-02-18T03:00:01.675404+01:00, outdoor_avg_60m=-7.45, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=66, opState=heating, status=set_flow_target
2026-02-18T03:00:01.683031+01:00, outdoor_avg_60m=-7.45, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=66, opState=heating, status=set_flow_target
2026-02-18T03:05:01.701099+01:00, outdoor_avg_60m=-7.55, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=66, opState=heating, status=set_flow_target
2026-02-18T03:05:01.712318+01:00, outdoor_avg_60m=-7.55, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=66, opState=heating, status=set_flow_target
2026-02-18T03:10:01.539409+01:00, outdoor_avg_60m=-7.58, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=66, opState=heating, status=set_flow_target
2026-02-18T03:10:01.548824+01:00, outdoor_avg_60m=-7.58, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=66, opState=heating, status=set_flow_target
2026-02-18T03:15:01.767183+01:00, outdoor_avg_60m=-7.67, flow_avg_10m=50.0, flowNow=49.5, powerNow=2000, freqNow=42, opState=heating, status=set_flow_target
2026-02-18T03:15:01.780101+01:00, outdoor_avg_60m=-7.67, flow_avg_10m=50.0, flowNow=49.5, powerNow=2000, freqNow=42, opState=heating, status=set_flow_target
2026-02-18T03:22:53.427377+01:00, outdoor_avg_60m=-7.82, flow_avg_10m=49.5, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:22:53.436088+01:00, outdoor_avg_60m=-7.82, flow_avg_10m=49.5, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:31:46.526969+01:00, outdoor_avg_60m=-8.0, flow_avg_10m=29.0, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:31:46.534909+01:00, outdoor_avg_60m=-8.0, flow_avg_10m=29.0, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:40:11.556770+01:00, outdoor_avg_60m=-8.0, flow_avg_10m=29.0, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:40:11.568318+01:00, outdoor_avg_60m=-8.0, flow_avg_10m=29.0, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:46:43.756076+01:00, outdoor_avg_60m=-7.89, flow_avg_10m=29.0, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:46:43.763098+01:00, outdoor_avg_60m=-7.89, flow_avg_10m=29.0, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-02-18T03:46:43.966146+01:00, outdoor_avg_60m=-7.8, flow_avg_10m=29.0, flowNow=29, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
